Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;26/10/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Brunei Darussalam;BRN;Total fisheries production (metric tons);ER.FSH.PROD.MT;800;900;900;1000;1000;1100;1200;1200;1300;1300;1500;1500;1500;1500;1560;1570;1644;2193;2704;2792;2225;2367;2357;3055;3425;3967;4106;3916;2042;2318;2354;1652;1709;1764;4517;4822;5848;4678;5221;3380;2600;1696;2215;1949;2632;3163;2754;3172;2830;2391;2850.98;2684;5073;3386.85;3897.07;4353.14;14239.63;13496;14811.99;14623.57;16591.07;20062.92;
Bhutan;BTN;Total fisheries production (metric tons);ER.FSH.PROD.MT;100;100;100;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;145;140;135;130;125;120;115;125;117;131;130;125;115;110;105;100;95;90;85;80;75;70;65;70;65;60;55;56;54;52;79;80.34;72.8;144;156;197;238;238.62;224.27;196;208;
Botswana;BWA;Total fisheries production (metric tons);ER.FSH.PROD.MT;400;400;500;500;500;500;600;600;800;800;800;1100;1200;1200;1200;1200;1600;1500;1000;1000;1250;1450;1400;1250;1500;1500;1700;1900;1900;1600;1300;1000;800;600;400;200;81;160;191;157;166;118;139;122;161;132;81;122;86;73;60;234;378;431;1168;101;53;58;63;73;179;201;
Central African Republic;CAF;Total fisheries production (metric tons);ER.FSH.PROD.MT;2000;2000;2000;2500;2500;3000;4000;5000;5000;6000;7000;8000;8000;10000;11883;8049;10480;13030;13047;13064;13080;13094;13111;13128;13309;13288;13193;13088;13079;13082;13105;13605;13338;13551;13755;13960;14150;14330;14580;15117;15120;17125;19125;21125;23125;25125;27140;29140;31140;33140;35170;35170;32182;30195;29195;28195;29195;29195;29209;29209;27709;28215;
Canada;CAN;Total fisheries production (metric tons);ER.FSH.PROD.MT;931042;1036870;1123387;1213157;1213316;1242713;1358682;1296355;1495890;1404864;1396089;1317649;1174655;1169095;1045856;1031900;1134435;1271867;1408150;1450442;1376925;1448401;1430442;1375319;1312249;1482788;1544397;1631973;1728032;1682396;1726748;1548466;1375876;1214701;1112524;945560;998319;1082952;1122419;1160246;1160351;1229970;1277887;1321586;1358662;1300181;1294235;1197468;1123423;1149101;1138105;1109394.33;1019314.23;1061189.36;1024614.53;1055181.5;1085165.43;1043756.29;1051260.15;980163.12;910698.4;945953.64;
Central Europe and the Baltics;CEB;Total fisheries production (metric tons);ER.FSH.PROD.MT;245611;251722;244516;292337;335341;381021;425630;459789;539022;566117;652471;716370;768424;812116;957319;1126574;1077259;986948;850318;897313;972945;961093;1002704;1148640;1107562;1053084;1061725;1084902;1077907;928684;693363;663863;1180162.08;958208.27;901936.01;943987.05;822440;755817.49;678129.08;691542.19;691529.24;757069.12;740591.54;684415.04;722991.12;707900.09;701723.3;773618.08;776304.79;854677.73;782992.39;771320.89;620043.39;707284.08;758228.74;674267.81;751586.6;707468.95;700324.78;711842.08;679380.59;667432.59;
Switzerland;CHE;Total fisheries production (metric tons);ER.FSH.PROD.MT;2500;2800;2800;3300;2800;2700;3000;3000;3500;3500;2400;2800;3600;3600;3800;3900;3915;3982;3820;3890;3500;3676;3369;3540;4113;4564;4657;4523;4227;4483;4228;4829;3945;2957;2716;2749;3002;3009;2959;2975;2759;2850;2679;2915;2807;2952;2904;2869;3300;3433;3362;3564;3474;3600;3576;3616;3584;3665;3396;3740.44;3844.03;3849.93;
Channel Islands;CHI;Total fisheries production (metric tons);ER.FSH.PROD.MT;800;1000;1000;1000;1000;1200;1200;1200;1200;1200;1300;1300;1300;1700;1625;1449;1368;2004;2688;2704;2906;2800;2241;3477;3669;3024;2333;2390;2756;2923;3072;2872;2885;2935;2886;3063;4537;4368;4313;3850;3979;4414;4029;4210;3976;4155;4128;4357;4200;3673.6;4503.2;4067.1;3837.24;3821.13;4300.75;4343.2;4484.65;4108.2;4669.6;4428.2;3180.72;3332.51;
Chile;CHL;Total fisheries production (metric tons);ER.FSH.PROD.MT;346822;440905;643697;773891;1176119;729277;1404860;1085695;1392284;1110093;1230468;1516362;820980;694470;1171969;970553;1436857;1378970;1989159;2697021;2892854;3503373;3846789;4167505;4674028;4986865;5695537;4931660;5375983;6632640;5424055;6166043;6627364;6191764;8021446;7890723;7232746;6365709;3824607;5587316;4972652;4663433;5132740;4528441;6013542;5477533;5294185;4939020;4810224;4702902;3761557;4436495;4083083.31;3334593.04;3820107;3189300;2876719.41;3554763.22;3657643.81;3787588.99;3688721.13;3833592.38;
China;CHN;Total fisheries production (metric tons);ER.FSH.PROD.MT;3173600;3173600;3280400;3348000;3483200;3690000;3825200;3825200;3931900;4067100;3970690;4494570;4996282;4922582;5360583;5654493;5703574;6411153;6438622;5973332;6252312;6174007;6766618;7327544;8211953;9236137;10416481;11733919;13189029;14326208;15107495;17147309;20607711;24697356;29231422;33865204;37799524;38467260;41144461;43209033;44573574;45506377;47586869;49490650;51958654;53793997;55906797.49;57517796.3;59230149.73;61125855.71;62843813.78;64411221.25;67528903.81;70662625.2;73683870.14;76016876.27;78337639.43;79935166.11;80966168.45;82593752.45;83929521.5;85948133.98;
